question_idx,question,category,difficulty,expected_chunk_ids,expected_document_ids,rank_of_first_relevant,recall@1,recall@3,recall@5,recall@10,precision@1,precision@3,precision@5,precision@10,mrr@10,ndcg@3,ndcg@5,ndcg@10
10,"Qanuna görə ""öhdəlik daşıyan şəxslər"" kimlərdir və bu anlayış ""maliyyə institutları"" ilə ""qeyri-maliyyə institutları və peşə sahibləri"" anlayışlarından necə fərqlənir?",aml_kyc,medium,Məcəllə_art_1_2_part1,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
11,"Qanunun 1.1.8-ci yarımbəndinə əsasən hansı subyektlər ""maliyyə institutları"" kateqoriyasına aiddir?",aml_kyc,easy,Məcəllə_art_1_2_part1,Məcəllə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Qanuna görə ""virtual aktiv"" anlayışı necə müəyyən edilir və hansı alətlər virtual aktiv hesab edilmir?",aml_kyc,medium,Məcəllə_art_1_2_part1,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
13,"Qanuna görə ""benefisiar mülkiyyətçi"" kim hesab edilir?",aml_kyc,easy,Məcəllə_art_1_2_part2,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
14,"Qanunda ""mühüm iştirak payı"" hansı faiz həddi ilə müəyyən edilir?",aml_kyc,easy,Məcəllə_art_1_2_part2,Məcəllə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"""Siyasi nüfuzlu şəxslərin yaxın qohumları"" anlayışına hansı şəxslər daxildir?",aml_kyc,medium,Məcəllə_art_1_2_part3,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
16,"Qanuna əsasən ""siyasi nüfuzlu şəxs"" statusuna hansı vəzifə sahibləri aiddir?",aml_kyc,medium,Məcəllə_art_1_2_part3,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
17,FATF nədir və hansı məqsədlə fəaliyyət göstərir?,aml_kyc,easy,Məcəllə_art_1_2_part3|Məcəllə_art_1_2_part4,Məcəllə,2,0.0,0.5,0.5,0.5,0.0,0.3333333333333333,0.2,0.1,0.5,0.38685280723454163,0.38685280723454163,0.38685280723454163
18,"Qanuna görə ""yüksək riskli zonalar"" hansı əlamətlərə görə müəyyən edilir?",aml_kyc,hard,Məcəllə_art_1_2_part4,Məcəllə,5,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.1,0.2,0.0,0.38685280723454163,0.38685280723454163
19,Qanunun tətbiq dairəsinə görə bu Qanun kimlər arasındakı münasibətləri tənzimləyir və Azərbaycan yurisdiksiyasından kənar fəaliyyətə necə tətbiq olunur?,aml_kyc,medium,Məcəllə_art_2_6,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
20,Qanunun tələbləri qeyri-maliyyə institutları və peşə sahiblərinə hansı hallarda tətbiq olunur?,aml_kyc,medium,Məcəllə_art_3_7,Məcəllə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
21,"""Anbarların açılması, bağlanması və möhürlənməsi jurnalı"" üçün müəyyən edilmiş saxlanma müddəti neçə ildir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_90_108,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
22,"""Nəzarət kitabı""nın saxlanma müddəti neçə ildir?",governance_and_compliance,medium,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_93_111,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"""Xəzinə departamentinin ehtiyat fondunda olan nağd pulun küpürlər üzrə qalığına dair hesabat"" (aylıq) hansı sənəd növüdür və saxlanma müddəti neçə ildir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_95_113,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
24,"""Silahların alınması, verilməsi, saxlanması və uçotu məsələləri barədə sənədlər və yazışma""nın saxlanma müddəti neçə ildir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_96_115,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
25,"""Qiymətlilərin inkassasiyası ilə bağlı müqavilələr"" üçün saxlanma müddəti neçə ildir və hansı əlavə şərt qeyd olunub?",governance_and_compliance,medium,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_98_117,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
26,"""Saxlanca qoyulmuş sənədlər və qiymətlilər üzrə uçot kitabı""nın saxlanma müddəti nədir?",governance_and_compliance,hard,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_85_103,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
27,"""Ciddi hesabat blankları üzrə uçot kitabı""nın saxlanma müddəti nədir?",governance_and_compliance,hard,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_87_105,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
28,"""Digər memorandum hesablar üzrə uçot kitabı"" hansı qurumlarda hansı saxlanma statusuna malikdir?",governance_and_compliance,hard,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_89_107,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
29,"Təlimatın müvafiq bölməsində ""Qiymətlilərin inkassasiyası"" hansı bölmə/başlıq kimi qeyd olunub?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_2_114,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,4,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.1,0.25,0.0,0.43067655807339306,0.43067655807339306
30,"""Qiymətlilərin inkassasiyası ilə bağlı yazışma""nın saxlanma müddəti neçə ildir?",governance_and_compliance,medium,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_99_118,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
31,"Təlimatda saxlanma müddətləri cədvəlinin hansı bölməsi ""1. Beynəlxalq hesablaşmalar"" başlığı ilə başlayır?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_1_121,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
32,"""Sənədli akkreditiv, yol çekləri və digər ödəniş vasitələrinə dair sənədlər və yazışmalar""ın saxlanma müddəti neçə ildir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_103_123,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
33,"Təlimatda saxlanma müddətləri cədvəlində ""2. Xarici valyuta əməliyyatları"" hansı bölmə kimi qeyd olunub?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_2_126,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
34,"""Rezident və qeyri-rezidentlərin xarici valyuta hesabları üzrə aparılan əməliyyatları təsdiq edən sənədlər"" üçün saxlanma müddəti neçə ildir və hansı əlavə şərtlə hesablanır?",governance_and_compliance,hard,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_107_128,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
35,Hesabat-tədiyə balansının illik və rüblük hesabatları üçün saxlanma müddətləri nə qədərdir?,governance_and_compliance,hard,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_109_130,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
36,"""Xarici valyutalara sifarişlər""in saxlanma müddəti neçə ildir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_111_132,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
37,"""Açılmış hesabların analitik uçotu üzrə qeydiyyatı kitabları"" hansı saxlanma statusuna malikdir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_117_139,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
38,"Milli və xarici valyutada memorial və kassa sənədləri, habelə müştərilərin ödəniş sənədləri (ödəniş tapşırıqları, köçürmə ərizələri, svift bildirişləri və s.) neçə il saxlanmalıdır?",governance_and_compliance,medium,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_118_140,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
39,"""Müştərilərin hesabları üzrə bank çıxarışları""nın saxlanma müddəti neçə ildir?",governance_and_compliance,easy,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_122_144,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
40,"""Banklar haqqında"" Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə Fərman neçənci tarixdə, kim tərəfindən imzalanıb və nə vaxt qüvvəyə minir?",laws,medium,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part2,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"""Banklar haqqında"" Qanunun 49.2-ci maddəsində nəzərdə tutulmuş sanksiyanın tətbiqinə dair materiallara baxılması qaydası kim tərəfindən və necə təsdiq edilir?",laws,medium,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part2,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,12 aprel 2017-ci il tarixli 1336 nömrəli Prezident Fərmanı ilə Fərmanın 3.1-ci bəndinə hansı dəyişikliklər edilib?,laws,hard,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part3,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Fərmanın 3.1-1-ci bəndinə hansı Fərmanlarla və hansı tarixlərdə əlavələr edilib?,laws,hard,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə_art_4_5_part3,Banklar haqqında Azərbaycan Respublikası Qanununun tətbiq edilməsi barədə,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Azərbaycan Respublikasının Mərkəzi Bankı haqqında Qanuna əsasən Mərkəzi Bankın müstəqilliyi nədən ibarətdir və hansı orqanlar onun fəaliyyətinə müdaxilə edə bilməz?,laws,medium,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_I_art_6_8,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
45,"Mərkəzi Bank dövlətin öhdəlikləri üçün, dövlət isə Mərkəzi Bankın öhdəlikləri üçün cavabdehdirmi və bu qaydanın hansı istisnası var?",laws,hard,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_I_art_6_8,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında,2,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.2,0.1,0.5,0.6309297535714575,0.6309297535714575,0.6309297535714575
46,Mərkəzi Bank beynəlxalq əməkdaşlıq çərçivəsində hansı qurumlarla müqavilə və sazişlər bağlaya bilər?,laws,medium,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_I_art_9_11,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
47,Mərkəzi Bankın mənfəəti necə hesablanır və gəlirləri hansı mənbələr hesabına formalaşır?,laws,medium,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_II_art_11_14,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
48,"""Azərbaycan Respublikasının Mərkəzi Bankı haqqında"" Qanunun III fəsli hansı münasibətləri tənzimləyir?",laws,easy,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_III_18,802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
49,Kredit İttifaqının fəaliyyətinin əsas prinsipləri hansılardır?,laws,medium,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_I_art_1_10,AZƏRBAYCAN RESPUBLİKASININ QANUNU,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
50,Kredit ittifaqları Azərbaycan Respublikasının hansı sahədə nəzərdə tutulmuş vəzifələri həyata keçirirlər?,laws,easy,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_I_art_2_14,AZƏRBAYCAN RESPUBLİKASININ QANUNUNU,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
51,"""Əmanətlərin sığortalanması haqqında"" Qanunun II fəsli hansı mövzuya həsr olunub?",laws,easy,Əmanətlərin sığortalanması haqqında_ch_II_6,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
52,Əmanətlərin Sığortalanması Fondu sığorta hadisəsi baş verdikdə hansı funksiyanı yerinə yetirir?,laws,easy,Əmanətlərin sığortalanması haqqında_ch_II_art_4_8,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
53,Fond öhdəliklərini yerinə yetirmək üçün vəsaiti çatışmadıqda haradan borc vəsaiti cəlb edə bilər və kompensasiya ödədikdə həmin məbləği necə geri tələb edir?,laws,medium,Əmanətlərin sığortalanması haqqında_ch_II_art_4_8,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
54,Fondun Himayəçilik Şurası hansı halda Fondun uzunmüddətli borc qiymətli kağızlarının buraxılması haqqında qərar qəbul edir və bu səlahiyyəti icraçı direktora həvalə edə bilərmi?,laws,hard,Əmanətlərin sığortalanması haqqında_ch_II_art_8_12,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
55,"Fondun icraçı direktoru necə təyin edilir, səlahiyyət müddəti neçə ildir və hansı tələblərə cavab verməlidir?",laws,medium,Əmanətlərin sığortalanması haqqında_ch_II_art_9_13,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
56,Fondun sığorta ehtiyatları hansı mənbələr hesabına formalaşır?,laws,medium,Əmanətlərin sığortalanması haqqında_ch_II_art_11_15,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
57,Sığorta haqlarını vaxtında ödəməyən iştirakçı banka tətbiq edilən dəbbə pulu necə hesablanır və 30 gün ərzində ödəniş edilmədikdə hansı tədbirlər görülür?,laws,hard,Əmanətlərin sığortalanması haqqında_ch_II_art_15_19,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
58,Fond risklərin bölüşdürülməsi məqsədilə sərbəst pul vəsaitlərini hansı maliyyə alətlərində yerləşdirə bilər?,laws,medium,Əmanətlərin sığortalanması haqqında_ch_II_art_18_22,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
59,Fond öz funksiyalarını yerinə yetirərkən maliyyə bazarlarına nəzarət orqanına və Mərkəzi Banka hansı məlumatları təqdim edir?,laws,medium,Əmanətlərin sığortalanması haqqında_ch_II_art_21_25,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
60,Mərkəzi Bank banklarla bağlı hansı qərarlar qəbul edildikdə bu barədə Fonda növbəti iş günündən gec olmayaraq məlumat göndərməlidir?,laws,hard,Əmanətlərin sığortalanması haqqında_ch_II_art_21_25,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
61,Mərkəzi Bank iştirakçı bankın Fond qarşısında öhdəliklərini yerinə yetirmədiyini aşkar etdikdə hansı tədbirləri görür və pozuntular aradan qaldırılmazsa hansı sanksiyalar tətbiq edilir?,laws,hard,Əmanətlərin sığortalanması haqqında_ch_II_art_21_25,Əmanətlərin sığortalanması haqqında,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
62,Bankın çevrilmə formasında yenidən təşkilinə qabaqcadan razılıq alınması üçün müraciətə hansı sənədlər əlavə edilməlidir?,governance_and_compliance,medium,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_10,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
63,BOKT-yə çevrilən bank əmanətçilər qarşısında olan öhdəliklərinin icrasına dair hesabatı hansı müddət ərzində və kimlər tərəfindən imzalanmış şəkildə Palataya təqdim etməlidir?,governance_and_compliance,hard,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə_art_6_10,“Bankların yenidən təşkili haqqında Qaydalar”ın təsdiq edilməsi barədə,1,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.1,1.0,1.0,1.0,1.0
