question,expected_chunk_ids,expected_document_ids,retrieved_top10,rank_of_first_relevant,recall@1,recall@3,recall@5,recall@10,mrr,hit@1,hit@3,hit@5,hit@10
"Qanuna görə ""öhdəlik daşıyan şəxslər"" kimlərdir və bu anlayış ""maliyyə institutları"" ilə ""qeyri-maliyyə institutları və peşə sahibləri"" anlayışlarından necə fərqlənir?",Məcəllə_art_1_2_part1,Məcəllə,"98a6608d0eb4e83b612fde01f_art_1_36,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_II_art_6_68,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_II_art_10_38,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_I_art_5_20,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_I_art_2_11,Valyuta tənzimi haqqında_art_19_109,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_II_art_9_30,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_IV_art_27_88,Valyuta tənzimi haqqında_art_3_108,Valyuta tənzimi haqqında_art_2_111",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Qanunun 1.1.8-ci yarımbəndinə əsasən hansı subyektlər ""maliyyə institutları"" kateqoriyasına aiddir?",Məcəllə_art_1_2_part1,Məcəllə,"Valyuta tənzimi haqqında_art_8_47,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_8_125,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_8_20,Banklar Haqqında Qanun_ch_VIII_190,590-IIQ-Banklar haqqında_ch_VIII_196,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_8_76,Bank Hesabları Qaydası_art_8_76,“Azərbaycan Respublikasının bank sistemində arxiv işinin aparılması haqqında Təlimat”ın təsdiq edilməsi barədə_art_8_22,58696c0de75462383dba38398_art_1_26,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_3_46",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Qanuna görə ""virtual aktiv"" anlayışı necə müəyyən edilir və hansı alətlər virtual aktiv hesab edilmir?",Məcəllə_art_1_2_part1,Məcəllə,"5b725bb224d33e2085294c793_art_15_32,5b725bb224d33e2085294c793_art_5_22,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_V_art_5_102,5b725bb224d33e2085294c793_art_11_28,Valyuta tənzimi haqqında_art_17_102,Valyuta tənzimi haqqında_art_1_48,Valyuta tənzimi haqqında_art_3_120,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_II_art_1_28,5b725bb224d33e2085294c793_art_3_20,98a6608d0eb4e83b612fde01f_art_1_36",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Qanuna görə ""benefisiar mülkiyyətçi"" kim hesab edilir?",Məcəllə_art_1_2_part2,Məcəllə,"64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_16_35,Bank Hesabları Qaydası_art_16_35,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_II_art_7_18,Valyuta tənzimi haqqında_art_4_33,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_II_art_5_8,5b725bb224d33e2085294c793_art_3_20,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_II_art_10_41,096312ee-c41c-4c1f-9edd-baf5f3187758_art_3_36,5b725bb224d33e2085294c793_art_11_28,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_II_5",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Qanunda ""mühüm iştirak payı"" hansı faiz həddi ilə müəyyən edilir?",Məcəllə_art_1_2_part2,Məcəllə,"AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_1_81,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_11_26,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_III_art_4_63,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_III_art_1_74,Valyuta tənzimi haqqında_art_13_15,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_II_art_4_37,baab9bc790127f849f8ac1040_art_1_39,6c51a485-6986-4257-b6e0-25475732f1dc_art_4_18,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_IV_art_2_89,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_I_art_1_3",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"""Siyasi nüfuzlu şəxslərin yaxın qohumları"" anlayışına hansı şəxslər daxildir?",Məcəllə_art_1_2_part3,Məcəllə,"Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_7_14,Məcəllə_art_7_14,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_19_38,Bank Hesabları Qaydası_art_19_38,İstehlakçıların hüquqlarının müdafiəsi haqqında_ch_IV_87,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_6_74,Bank Hesabları Qaydası_art_6_74,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_21_89,Bank Hesabları Qaydası_art_21_89,Bank Hesabları Qaydası_art_5_73",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Qanuna əsasən ""siyasi nüfuzlu şəxs"" statusuna hansı vəzifə sahibləri aiddir?",Məcəllə_art_1_2_part3,Məcəllə,"64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_19_38,Bank Hesabları Qaydası_art_19_38,096312ee-c41c-4c1f-9edd-baf5f3187758_art_3_36,45937180-250a-4b4a-b8e5-153945adb06d_art_2_27,096312ee-c41c-4c1f-9edd-baf5f3187758_art_5_11,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_14_33,Bank Hesabları Qaydası_art_14_33,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_7_14,Məcəllə_art_7_14,096312ee-c41c-4c1f-9edd-baf5f3187758_art_6_12",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
FATF nədir və hansı məqsədlə fəaliyyət göstərir?,Məcəllə_art_1_2_part3 | Məcəllə_art_1_2_part4,Məcəllə,"802-IIQ-Azərbaycan Respublikasının Mərkəzi Bankı haqqında_ch_X_74,64b6f05f-196b-4894-9374-9e5c1c4df7a2_art_20_39,Bank Hesabları Qaydası_art_20_39,AZƏRBAYCAN RESPUBLİKASININ QANUNU_ch_III_47,Valyuta tənzimi haqqında_art_14_90,590-IIQ-Banklar haqqında_ch_V_63,Banklar Haqqında Qanun_ch_V_63,5b725bb224d33e2085294c793_art_3_20,933-IIIQ-Bank olmayan kredit təşkilatları haqqında_ch_II_7,Daxili audit haqqında_ch_IV_15",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Qanuna görə ""yüksək riskli zonalar"" hansı əlamətlərə görə müəyyən edilir?",Məcəllə_art_1_2_part4,Məcəllə,"ba0d73daa9275fa1fe1e4694b_art_1_31,9018b71b0859bc7a490ea0f22_art_4_25,5b725bb224d33e2085294c793_art_3_20,Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_15_34,Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_16_35,5b725bb224d33e2085294c793_art_11_28,9018b71b0859bc7a490ea0f22_art_5_42,45937180-250a-4b4a-b8e5-153945adb06d_art_3_28,Əməliyyat Risklərinin İdarə Edilməsi Qaydası_art_4_23,“Qiymətli kağızlar bazarında sui-istifadələrin qarşısının alınması haqqında Qaydalar”ın təsdiq edilməsi barədə_art_1_2",-1,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Qanunun tətbiq dairəsinə görə bu Qanun kimlər arasındakı münasibətləri tənzimləyir və Azərbaycan yurisdiksiyasından kənar fəaliyyətə necə tətbiq olunur?,Məcəllə_art_2_6,Məcəllə,"Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_2_6,Məcəllə_art_2_6,Valyuta tənzimi haqqında_art_3_123,Daxili audit haqqında_ch_IV_art_12_17,Valyuta tənzimi haqqında_art_2_107,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_113_366,Müştəri Uyğunluğu və Risk Qiymətləndirməsi Qaydaları_art_2_19,096312ee-c41c-4c1f-9edd-baf5f3187758_art_4_51,Valyuta tənzimi haqqında_art_3_97,Valyuta tənzimi haqqında_art_11_129",2,0.0,1.0,1.0,1.0,0.5,0,1,1,1
Qanunun tələbləri qeyri-maliyyə institutları və peşə sahiblərinə hansı hallarda tətbiq olunur?,Məcəllə_art_3_7,Məcəllə,"Valyuta tənzimi haqqında_art_17_102,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_113_366,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_112_365,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_115_368,Cinayət yolu ilə əldə edilmiş əmlakın leqallaşdırılmasına və terrorçuluğun maliyyələşdirilməsinə qarşı mübarizə haqqında_art_3_7,Məcəllə_art_3_7,9018b71b0859bc7a490ea0f22_art_11_71,98a6608d0eb4e83b612fde01f_art_1_36,“Azərbaycan Respublikası rezidentlərinin qeyri-rezidentlərlə maliyyə əməliyyatlarına və neytral əməliyyatlara dair hesabatın tərtibi və təqdim edilməsi haqqında Təlimat”ın təsdiq edilməsi barədə_art_27_233,Banklar Haqqında Qanun_ch_VI_69",6,0.0,0.0,0.0,1.0,0.16666666666666666,0,0,0,1
